"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SDR39U1" -1.44965261638543 2.17948392904657 -9.48711290065738 2.00878953290914e-08 1.55203923202214e-06 9.57144641137455
"RMRP" -1.44756967851569 11.7781738608634 -5.34982986141906 4.39265541138715e-05 0.000549208250478908 1.71727829986289
"BMF" -1.42571303098814 2.34772837706469 -2.4997655318837 0.0223268365736934 0.0590217320150003 -4.29490031157681
"MT-ND4" 1.4222257487209 11.5126336516636 3.69155594392259 0.00167148271339612 0.00846650014157919 -1.85044300923286
"ANKHD1" -1.41961011719181 2.53780784409061 -8.23091616237428 1.63907648316051e-07 7.50256269224814e-06 7.48726857641949
"FZD7" -1.41806646353589 5.85537899568096 -4.56428242586699 0.000240831226503592 0.00198158261444874 -0.0512781726446931
"DNASE1" 1.41673370571842 4.26844270505424 13.3172710452457 9.36685735611894e-11 2.02407487611185e-08 14.943056721084
"ETNK1" -1.41143377268075 5.84364960022362 -8.64372512227693 8.04832972105715e-08 4.39889193090301e-06 8.09346808991482
"PRSS23" -1.40305816768373 1.10686870704358 -8.20059610618203 1.72845775807345e-07 7.81320282840341e-06 7.34046677181521
"LYPD6" -1.40021372826404 4.43538681081245 -2.5788558088345 0.0189284793540725 0.0520461519644791 -4.2917789516303
"ITGB8" -1.39930283525207 5.44023565496988 -3.18856236146948 0.00509237078211081 0.0194063386576176 -3.07582382768019
"TMEM65" -1.39875253312978 6.68774746437171 -6.62070344841133 3.25448285423993e-06 7.54347579023186e-05 4.3090283169946
"PDP1" -1.39769605492329 7.16551419181208 -2.39651292388487 0.0276325424823247 0.0688538238340452 -4.68135693842155
"RPS21" -1.39369531777003 6.777668790182 -4.7781463329914 0.000150694377998457 0.0013760809337093 0.553866472383869
"COMMD8" -1.39136773824323 4.35586683231683 -6.44810638132302 4.5773518726206e-06 9.62657747110596e-05 4.12169852040467
"H4C2" -1.38994952560151 7.71543935332741 -5.15568386383814 6.65149138533155e-05 0.000747137225576399 1.25648292169408
"NEDD8-MDP1" 1.38622515878229 1.56460808340306 19.1781880806834 2.01350105911797e-13 1.78778241003724e-10 20.9714433367685
"SPEN-AS1" -1.38289767343274 3.38637445790927 -7.59328704695702 5.13477585101972e-07 1.84414093880312e-05 6.33339072398515
"MT-TY" -1.38213628908218 2.72310639126703 -4.94105082289838 0.000105710207287202 0.00107526330362911 0.924879608444124
"CCDC144BP" 1.3813252251609 3.78403312805177 3.06820293678831 0.00662817894858062 0.0237446173843595 -3.13177937913451
"VLDLR" -1.38091780178439 5.3420804748943 -3.98672959315424 0.000866101709277948 0.00517570599060557 -1.32003484279407
"RRP7BP" 1.3797249681553 5.09110174138662 2.84921906194073 0.0106550978400281 0.0337236013565561 -3.62693771686712
"TBPL1" -1.37965402380967 4.44844617412166 -4.68234577374393 0.000185829411730466 0.00161566289815778 0.350879540138153
"TRIM23" -1.37592374073133 4.85637816203363 -13.4263300934917 8.19252152320592e-11 1.87146313491708e-08 15.0762170093115
"MT-TA" 1.37460308606142 3.47693261474278 1.35007485794736 0.193737501410731 0.303898681118575 -6.20896349531072
"SLC25A26" -1.37391590250639 4.79148347333097 -11.2276500769394 1.47349930568373e-09 1.67211473292902e-07 12.2074571701461
"H4C16" -1.37091202904961 4.6485014014753 -4.25583074940664 0.00047616545510332 0.00327690869734401 -0.550814679798613
"C1orf74" -1.36759635031664 1.62612142511645 -9.16149337843808 3.39837945825313e-08 2.3284242652962e-06 9.02156268469792
"SLC2A12" -1.36534572431246 3.78862834627546 -2.19576702295568 0.0414668788771734 0.0937998709484899 -4.90160816497124
"IL17RD" -1.35827549087991 4.05040476386735 -3.17249084773928 0.00527528225900249 0.0198854411521014 -3.06196203102202
"ARL4C" -1.35702719026851 6.46882484057762 -3.39985980411913 0.00319514969339064 0.0136234680077486 -2.62774203715586
"SEMA3A" -1.35524685760584 3.66172253080564 -1.9718032454014 0.0642119030166544 0.131119863442068 -5.3118345301574
"WDR38" 1.34826668002413 1.65266593021828 4.65783481486743 0.00019608896903968 0.00168602464776501 0.175593909623177
"COL4A2-AS2" -1.34730644439387 2.03766012796446 -4.74004969860681 0.000163776771560202 0.00146605106768845 0.37746335605853
"CPE" -1.34646235118898 3.82261409772518 -3.18136455153978 0.00517350920969051 0.0196222885772972 -2.90877286824579
"ZNF593" 1.34571517945841 1.51294786665436 13.5584119768656 6.97399942877144e-11 1.68832777282302e-08 15.2274414337055
"ETV5" -1.34525016098211 6.85113853495334 -2.58746185349555 0.018589768127829 0.0514263417939486 -4.31606956579918
"TSPO" -1.34382405988937 5.19043489842876 -2.9260447785436 0.00902779519136799 0.0298932525272836 -3.43850756409988
"CT45A1" 1.34349584230856 3.25385037430386 5.07821864171744 7.85784521616767e-05 0.000851774783929657 1.20233373516442
"PEA15" 1.34298829722731 7.31335132925547 6.65558393196376 3.03918985777538e-06 7.15095773447192e-05 4.38697400359091
"MIR7705" -1.34199871501655 1.271146886758 -3.79416872785638 0.0013300061898789 0.00712344514874175 -1.67157454582082
"SGPP1" -1.34024414440318 4.53045670326926 -5.32289961751126 4.65172785097698e-05 0.000576517897708114 1.71586636591062
"EEF1G" 1.34019092227581 1.60178849033411 17.2378856376354 1.24809110910286e-12 6.47462121074597e-10 19.2054719022315
"PCCB" -1.33954956644742 5.87227341923574 -12.0016166586978 5.08083137809718e-10 7.28297066223562e-08 13.2420758233179
"EIF3C" 1.33820619641653 3.90700308308292 3.48921153318201 0.00262103031921379 0.0117304934720968 -2.23196682536758
"LBHD1" 1.3360314511217 2.6786327198543 9.3929348892201 2.33572770870316e-08 1.74283682593235e-06 9.43838452939938
"NOMO3" 1.33447482755351 2.51840861603121 6.38096733483026 5.23247148045488e-06 0.000105952684587501 3.97565471823782
"TTC39B" -1.33413262872461 3.13524799773273 -3.15792642338683 0.00544658300152745 0.0204111025863915 -2.94010186958144
"KPNB1-DT" -1.33260822329009 1.19026718945866 -14.3842458486017 2.62235916549703e-11 7.51788967076966e-09 16.2050880309641
"RRM2B" -1.33204216872206 7.23731195668299 -4.823907971338 0.000136376156563441 0.00128186527144273 0.51809426291909
"CXCR5" -1.33083012550053 1.33972091239213 -8.63585531772016 8.15656480670468e-08 4.39889193090301e-06 8.12489667937679
"KRTCAP2" 1.32946711185128 1.77639554075647 13.5708939098157 6.86913703730847e-11 1.68832777282302e-08 15.2460531619077
"LINC01943" 1.32408027488761 3.0138059556144 6.18482277946386 7.76101217371047e-06 0.00014378990921837 3.55174495363351
"MT-TD" -1.31837260184617 2.37204249884804 -2.08027413726992 0.0520713824860467 0.111490888522601 -5.09384889543162
"CSNK2B" 1.31797727275773 3.24433979761952 9.09856289391979 3.76728196387975e-08 2.53338084657444e-06 8.96014388330873
"LRRC8C-DT" -1.31674386510813 2.12664051453075 -13.2363931420901 1.0351230266073e-10 2.08826486145553e-08 14.845048885643
"TUBA4A" 1.31558552389637 5.67647614851969 3.75655162758104 0.00144625278241661 0.007571108991661 -1.71203984486653
"PNRC1" -1.3129150981288 4.7565605963224 -3.0174424481196 0.00740366334835407 0.0258760052989956 -3.36039892979397
