"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "Gene"
"NEURL3" -1.17057093015973 3.53598062358073 -5.86095632632923 2.97294202155124e-07 3.76089501585243e-06 6.37307309680203 "NEURL3"
"ZNF283" 1.16851230003928 4.75807048663532 6.54683625022757 2.3745749597462e-08 4.34803928440015e-07 8.85093532263763 "ZNF283"
"ANTXR2" -1.16549529627442 4.7725851086347 -7.30422784752798 1.42788277990848e-09 4.21623014551667e-08 11.6153877265778 "ANTXR2"
"FAM43A" -1.16351949807086 3.69721192157515 -6.37079383276474 4.55562570462509e-08 7.69471682380927e-07 8.21131228531656 "FAM43A"
"AREG" -1.15901351704664 2.82652168144449 -6.94434047226341 5.43338473401491e-09 1.28162721143737e-07 10.3004315747455 "AREG"
"STING1" -1.15037450050502 2.37829107853058 -9.38144179890029 7.17417128956423e-13 6.48066806490636e-11 19.1014020729152 "STING1"
"CCN3" -1.14314533073463 2.17215553495417 -13.5076687548841 7.8164008191196e-19 1.05912231099071e-15 32.5849567802266 "CCN3"
"MIR1248" -1.14274282913867 3.43485662517449 -7.33282776213197 1.28408991389975e-09 3.8761080445563e-08 11.7198801840516 "MIR1248"
"MT-TQ" -1.14142661158587 3.38118393257219 -9.07082228825402 2.18722228766482e-12 1.73202440247224e-10 18.002606401514 "MT-TQ"
"MT-ND1" -1.13840775381923 8.16692932845571 -7.03087286471539 3.94007107322129e-09 9.84614072498641e-08 10.616528035008 "MT-ND1"
"PTPN6" -1.13797783021704 2.45884042567094 -10.7298949149348 6.40699601172202e-15 1.22083306817109e-12 23.748249297979 "PTPN6"
"HERC5" -1.13740039832336 3.91178299319111 -5.00125634210161 6.5586207278839e-06 5.07824633501868e-05 3.35615331610462 "HERC5"
"EGR4" -1.13068140605338 2.58812305984378 -5.473666828511 1.21476696847894e-06 1.22938449631541e-05 4.99766757512971 "EGR4"
"TRANK1" -1.12180051124824 3.27875124784353 -8.0718121067271 8.34763197297151e-11 3.96106505487889e-09 14.4124327021846 "TRANK1"
"CXCL3" -1.11412561464708 2.61399580990123 -6.45161479487273 3.37844418905971e-08 5.9195584605723e-07 8.50472802397177 "CXCL3"
"NTM" -1.10754093863602 2.67972019605039 -4.07028275182275 0.000156542804496898 0.000740018278833498 0.295514882525466 "NTM"
"PRDM1" -1.10477384760507 2.15889339983571 -8.50813971097744 1.68510609139676e-11 1.00243262363822e-09 15.9897434952306 "PRDM1"
"ADAP1" -1.09842016227568 3.57878815896407 -7.07467626752356 3.3485160961695e-09 8.57881382201408e-08 10.7765734435767 "ADAP1"
"MT-TV" -1.09681507206234 2.47511373782017 -7.2352474400961 1.84458659248974e-09 5.14753626897309e-08 11.3633341642756 "MT-TV"
"IL7R" -1.09500845718609 2.21293042741108 -7.31157234358587 1.3894858670655e-09 4.12281755446809e-08 11.6422222979169 "IL7R"
"KLF4" -1.08155487591858 2.57761386011339 -6.63076312017277 1.73977621900627e-08 3.3715004102157e-07 9.15647441248733 "KLF4"
"PDGFRA" -1.08098747093824 2.41222132912622 -7.42834445004277 9.00939589676527e-10 2.92206337662374e-08 12.0687851082594 "PDGFRA"
"SERPINE1" 1.07799518660175 6.71223741379147 9.17369532844737 1.5104473069456e-12 1.29717640198602e-10 18.3675615262059 "SERPINE1"
"HERC6" -1.07513099299207 4.40936414297007 -8.76234183686153 6.67690102285581e-12 4.44321096447161e-10 16.9024011497146 "HERC6"
